# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 16 20:49:11 2026
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%Transit%'
# CONSTRAINT:  and pl_orbper < 10
# CONSTRAINT:  and pl_rade > 8)
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
#
pl_name,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
TOI-1194 b,Transit,2.31064460000,0.00000054000,-0.00000054000,0,0.0340000000,0.0006000000,-0.0006000000,0,8.71664516,0.15541841,-0.14858263,0,120.00000000,5.60000000,-5.70000000,0,203.6850,,,0,1264.29,19.45,-18.73,0,5394.00,65.00,-63.00,0,0.960800,0.015800,-0.015000,0,0.983500,0.029800,-0.029000,0,0.3480,0.0560,-0.0580,0,4.463000,0.022000,-0.022000,0
Kepler-491 b,Transit,4.22538451200,0.00000026800,-0.00000026800,0,0.0519100000,0.0005100000,-0.0005100000,0,8.92000000,0.80000000,-0.51000000,0,59.00000000,,,0,312.5140,8.4370,-8.2170,0,1111.00,,,0,5582.00,53.81,-61.11,0,1.030000,0.092000,-0.059000,0,1.040000,0.026000,-0.028000,0,0.3700,0.0490,-0.0530,0,4.420000,0.053000,-0.074000,0
HATS-48 A b,Transit,3.13166660000,0.00000370000,-0.00000370000,0,0.0376900000,0.0001100000,-0.0001100000,0,8.96720000,0.16813500,-0.16813500,0,77.23269000,6.99226000,-9.53490000,0,137.6000,2.8000,-2.7000,0,954.60,4.80,-4.80,0,4546.00,23.00,-18.00,0,0.715200,0.003800,-0.003800,0,0.727900,0.006600,-0.006600,0,0.1860,0.0510,-0.0510,0,4.590900,0.003900,-0.003900,0
WASP-139 b,Transit,5.92426200000,0.00000400000,-0.00000400000,0,0.0620000000,0.0020000000,-0.0020000000,0,8.96720000,0.56045000,-0.56045000,0,37.18611000,5.40311000,-5.40311000,0,120.7076,,,0,910.00,30.00,-30.00,0,5310.00,90.00,-90.00,0,0.800000,0.040000,-0.040000,0,0.920000,0.100000,-0.100000,0,0.2000,0.0900,-0.0900,0,4.590000,0.060000,-0.060000,0
Kepler-817 b,Transit,3.99010622900,0.00000135800,-0.00000135800,0,0.0493000000,,,0,9.03000000,2.06000000,-1.13000000,0,60.20000000,,,0,550.2030,64.6530,-56.5980,0,1124.00,,,0,5861.00,259.88,-241.24,0,1.030000,0.235000,-0.121000,0,1.030000,0.117000,-0.082000,0,0.0200,0.1390,-0.1610,0,4.420000,0.084000,-0.148000,0
SWEEPS-4 b,Transit,4.20000000000,,,0,0.0550000000,,,0,9.07900000,1.12100000,-1.12100000,0,1207.70000000,,,0,,,,,,,,,,,,,1.180000,,,0,1.240000,,,0,,,,,,,,
TOI-1268 b,Transit,8.15770940000,0.00000450000,-0.00000450000,0,0.0711000000,0.0063000000,-0.0058000000,0,9.10000000,0.60000000,-0.60000000,0,96.40000000,8.20000000,-8.30000000,0,91.0972,,,0,918.90,29.90,-30.70,0,5300.00,100.00,-100.00,0,0.920000,0.060000,-0.060000,0,0.960000,0.040000,-0.040000,0,0.3600,0.0600,-0.0600,0,4.550000,0.100000,-0.100000,0
TOI-5422 b,Transit,5.37721900000,0.00001000000,-0.00001000000,0,0.0619000000,0.0018000000,-0.0013000000,0,9.10169233,0.34747840,-0.28022452,0,8899.19539600,508.52545120,-381.39408840,0,580.0000,47.0000,-41.0000,0,1369.00,27.00,-25.00,0,5820.00,120.00,-120.00,0,1.474000,0.048000,-0.040000,0,1.066000,0.094000,-0.069000,0,-0.0120,0.0400,-0.0400,0,4.135000,0.027000,-0.040000,0
TOI-837 b,Transit,8.32491130000,0.00000360000,-0.00000360000,0,0.0888000000,0.0026000000,-0.0029000000,0,9.16894621,0.38110534,-0.26901554,0,120.45696625,18.43404761,-19.38753283,0,164.0000,14.0000,-12.0000,0,995.30,20.40,-19.10,0,5995.00,79.00,-79.00,0,1.052000,0.012000,-0.007000,0,1.142000,0.008000,-0.011000,0,0.0100,0.0400,-0.0400,0,4.453000,0.003000,-0.008000,0
TOI-1173 b,Transit,7.06466000000,0.00028000000,-0.00029000000,0,0.0696000000,0.0014000000,-0.0014000000,0,9.19000000,0.18000000,-0.18000000,0,27.40000000,1.70000000,-1.70000000,0,132.0000,10.0000,-10.0000,0,868.00,11.00,-11.00,0,5350.00,34.00,-34.00,0,0.934000,0.011000,-0.011000,0,0.911000,0.028000,-0.030000,0,0.1390,0.0650,-0.0650,0,4.450000,0.020000,-0.020000,0
Kepler-695 b,Transit,3.04033042400,0.00000029800,-0.00000029800,0,0.0374000000,,,0,9.21000000,0.71000000,-0.56000000,0,62.30000000,,,0,499.0640,29.5050,-27.5760,0,1021.00,,,0,5181.00,199.46,-197.86,0,0.800000,0.062000,-0.048000,0,0.840000,0.052000,-0.048000,0,-0.0100,0.1490,-0.1620,0,4.570000,0.036000,-0.062000,0
TOI-622 b,Transit,6.40251300000,0.00003100000,-0.00005400000,0,0.0708000000,0.0052000000,-0.0059000000,0,9.23620010,0.31385146,-0.32506044,0,96.30200732,21.93016008,-22.88364530,0,602.0000,103.0000,-118.0000,0,1388.00,22.00,-22.00,0,6400.00,100.00,-100.00,0,1.415000,0.047000,-0.047000,0,1.313000,0.079000,-0.079000,0,0.0900,0.0700,-0.0700,0,4.200000,0.200000,-0.200000,0
HAT-P-38 b,Transit,4.64038200000,0.00003200000,-0.00003200000,0,0.0523000000,0.0009000000,-0.0009000000,0,9.24700000,1.03100000,-0.70600000,0,84.85700000,6.35600000,-6.35600000,0,243.0337,,,0,1082.00,55.00,-55.00,0,5330.00,100.00,-100.00,0,0.923000,0.096000,-0.067000,0,0.886000,0.044000,-0.044000,0,0.0600,0.1000,-0.1000,0,4.450000,0.080000,-0.080000,0
TOI-2986 b,Transit,3.27836620000,0.00000440000,-0.00000430000,0,0.0448900000,0.0009600000,-0.0008800000,0,9.29224500,0.25780656,-0.23538859,0,96.61983573,21.29450327,-27.33324300,0,1156.0000,53.0000,-50.0000,0,1622.00,18.00,-18.00,0,5906.00,66.00,-69.00,0,1.458000,0.033000,-0.031000,0,1.122000,0.074000,-0.064000,0,0.0950,0.0670,-0.0610,0,4.165000,0.018000,-0.028000,0
Kepler-856 b,Transit,8.02768059500,0.00000201300,-0.00000201300,0,0.0787000000,,,0,9.30000000,1.25000000,-0.60000000,0,63.30000000,,,0,153.4970,14.6580,-13.1190,0,824.00,,,0,5535.00,69.55,-84.49,0,0.930000,0.125000,-0.058000,0,0.960000,0.045000,-0.039000,0,0.1200,0.1500,-0.1420,0,4.490000,0.047000,-0.119000,0
TOI-530 b,Transit,6.38759700000,0.00001900000,-0.00001800000,0,0.0520000000,0.0050000000,-0.0040000000,0,9.30345398,0.67253884,-0.67253884,0,127.13136280,28.60455663,-31.78284070,0,14.2590,,,0,565.00,28.00,-31.00,0,3659.00,120.00,-120.00,0,0.540000,0.030000,-0.030000,0,0.530000,0.020000,-0.020000,0,0.3760,0.0950,-0.0950,0,4.700000,0.030000,-0.030000,0
TOI-1135 b,Transit,8.02772830000,,,0,0.0823374030,,,0,9.34085000,0.41959900,-0.41959900,0,51.42000000,,,1,254.8940,,,0,1074.28,,,0,5962.70,,,0,1.150000,,,0,1.156039,,,0,0.0000,0.0200,-0.0200,0,4.380000,,,0
WASP-126 c,Transit Timing Variations,7.63000000000,0.17000000000,-0.17000000000,0,,,,,9.38000000,,,0,64.20000000,24.60000000,-24.60000000,0,,,,,,,,,5800.00,,,0,1.270000,,,0,1.120000,,,0,0.2068,0.0458,-0.0458,0,4.280000,0.030000,-0.070000,0
CoRoT-20 b,Transit,9.24285000000,0.00030000000,-0.00030000000,0,0.0900000000,0.0020000000,-0.0020000000,0,9.41556000,0.44836000,-0.44836000,0,1366.66900000,63.56600000,-63.56600000,0,180.8704,,,0,1024.00,16.00,-16.00,0,5880.00,90.00,-90.00,0,1.020000,0.050000,-0.050000,0,1.140000,0.080000,-0.080000,0,0.1400,0.1200,-0.1200,0,4.350000,0.110000,-0.140000,0
WASP-144 b,Transit,2.27831520000,0.00000130000,-0.00000130000,0,0.0316000000,0.0005000000,-0.0005000000,0,9.52765000,0.56045000,-0.56045000,0,139.84520000,19.06980000,-19.06980000,0,775.8849,,,0,1260.00,40.00,-40.00,0,5200.00,140.00,-140.00,0,0.810000,0.040000,-0.040000,0,0.810000,0.040000,-0.040000,0,0.1800,0.1400,-0.1400,0,4.530000,0.030000,-0.030000,0
WASP-182 b,Transit,3.37698480000,0.00000240000,-0.00000240000,0,0.0451000000,0.0009000000,-0.0009000000,0,9.52765000,0.33627000,-0.33627000,0,47.03884000,3.49613000,-3.49613000,0,756.2610,,,0,1479.00,34.00,-34.00,0,5638.00,100.00,-100.00,0,1.340000,0.030000,-0.030000,0,1.076000,0.064000,-0.064000,0,0.2700,0.1100,-0.1100,0,4.218000,0.033000,-0.033000,0
TOI-954 b,Transit,3.68497290000,0.00000270000,-0.00000280000,0,0.0496300000,0.0008900000,-0.0009000000,0,9.55006800,0.59407700,-0.69495800,0,55.30242000,5.72094000,-5.40311000,0,1393.0000,66.0000,-62.0000,0,1526.00,123.00,-164.00,0,5710.00,53.00,-49.00,0,1.892000,0.077000,-0.076000,0,1.201000,0.066000,-0.064000,0,0.2150,0.0500,-0.0510,0,3.962000,0.026000,-0.024000,0
TOI-6894 b,Transit,3.37077196000,0.00000059000,-0.00000059000,0,0.0260400000,0.0004500000,-0.0004500000,0,9.58367850,0.24659758,-0.24659758,0,53.39517238,6.99222495,-6.99222495,0,5.5400,0.4400,-0.4400,0,417.90,8.60,-8.60,0,3007.00,58.00,-58.00,0,0.227600,0.005700,-0.005700,0,0.207000,0.011000,-0.011000,0,0.1420,0.0870,-0.0870,0,5.039000,0.011000,-0.011000,0
TOI-907.01,Transit,4.58491290000,,,0,0.0552254810,,,0,9.61588510,0.61162790,-0.61162790,0,67.00000000,,,0,1729.6714,,,0,1846.60,,,0,6272.00,,,0,2.059789,,,0,1.069357,,,0,,,,,3.839900,,,0
TOI-2876 b,Transit,6.29964310000,0.00000700000,-0.00000700000,0,0.0654000000,0.0009000000,-0.0011000000,0,9.63972340,0.33626942,-0.31385146,0,54.03082919,16.52707716,-16.52707716,0,124.2000,9.6000,-7.3000,0,929.00,17.00,-15.00,0,5271.00,110.00,-96.00,0,0.873000,0.021000,-0.020000,0,0.939000,0.041000,-0.045000,0,0.3530,0.0730,-0.0760,0,4.529000,0.025000,-0.029000,0
TOI-1298 b,Transit,4.53714300000,0.00000300000,-0.00000300000,0,0.0570000000,0.0010000000,-0.0010000000,0,9.65807033,0.19896656,-0.17319735,0,99.00000000,6.00000000,-6.00000000,0,732.0077,,,0,1278.00,19.95,-26.28,0,5752.00,69.00,-99.00,0,1.453600,0.027500,-0.023900,0,1.218700,0.024600,-0.056800,0,0.3970,0.0610,-0.0580,0,4.194000,0.020000,-0.024000,0
Kepler-714 b,Transit,8.09888798600,0.00000219400,-0.00000219400,0,0.0832000000,,,0,9.67000000,2.49000000,-1.01000000,0,67.60000000,,,0,484.0060,50.7730,-44.9470,0,986.00,,,0,5995.00,106.70,-117.06,0,1.120000,0.288000,-0.117000,0,1.090000,0.081000,-0.066000,0,0.0400,0.1390,-0.1570,0,4.370000,0.080000,-0.178000,0
HAT-P-20 b,Transit,2.87531700000,0.00000400000,-0.00000400000,0,0.0361000000,0.0005000000,-0.0005000000,0,9.71800000,0.37000000,-0.37000000,0,2302.89900000,59.43200000,-59.43200000,0,85.1168,,,0,970.00,23.00,-23.00,0,4595.00,80.00,-80.00,0,0.694000,0.021000,-0.021000,0,0.756000,0.028000,-0.028000,0,0.3500,0.0800,-0.0800,0,4.630000,0.020000,-0.020000,0
TOI-5573 b,Transit,8.79758977000,0.00000986000,-0.00001001000,0,0.0712000000,0.0008000000,-0.0008000000,0,9.75000000,0.47000000,-0.47000000,0,112.00000000,18.00000000,-19.00000000,0,12.9200,1.0500,-1.0500,0,528.00,10.00,-10.00,0,3790.00,59.00,-59.00,0,0.594000,0.011000,-0.011000,0,0.619000,0.023000,-0.023000,0,0.4200,0.1600,-0.1600,0,4.680000,0.040000,-0.040000,0
Kepler-1517 b,Transit,5.54608366500,0.00000708700,-0.00000708700,0,0.0780000000,,,0,9.76000000,2.79000000,-1.93000000,0,68.70000000,,,0,1526.9830,55.5320,-53.4220,0,2336.00,,,0,7010.00,117.01,-113.20,0,1.950000,0.530000,-0.370000,0,1.580000,0.183000,-0.153000,0,0.0100,0.1440,-0.1520,0,4.060000,0.142000,-0.161000,0
Kepler-688 b,Transit,3.89593684400,0.00000080100,-0.00000080100,0,0.0460000000,,,0,9.76000000,1.76000000,-0.97000000,0,68.70000000,,,0,458.9120,51.7400,-45.6810,0,1005.00,,,0,5715.00,152.52,-199.21,0,0.960000,0.173000,-0.093000,0,0.980000,0.066000,-0.068000,0,0.0200,0.1330,-0.1670,0,4.470000,0.063000,-0.140000,0
